pair_type,group,task_a_id,task_b_id,task_a_repo,task_b_repo,task_a_difficulty,task_b_difficulty,jaccard,cosine,files_a,files_b
within,easy,django__django-9296,django__django-10999,django/django,django/django,1,1,0.12280701754385964,0.16641573835519793,django/core/paginator.py,django/utils/dateparse.py
within,easy,django__django-9296,django__django-10097,django/django,django/django,1,1,0.10606060606060606,0.24608787974669735,django/core/paginator.py,django/core/validators.py
within,easy,django__django-9296,django__django-11163,django/django,django/django,1,1,0.14516129032258066,0.12961754418734317,django/core/paginator.py,django/forms/models.py
within,easy,django__django-9296,django__django-11133,django/django,django/django,1,1,0.10526315789473684,0.21166701539559157,django/core/paginator.py,django/http/response.py
within,easy,django__django-9296,django__django-11603,django/django,django/django,1,1,0.13793103448275862,0.19735873608525428,django/core/paginator.py,django/db/models/aggregates.py
within,easy,django__django-9296,django__django-10914,django/django,django/django,1,1,0.09859154929577464,0.12381390530032088,django/core/paginator.py,django/conf/global_settings.py
within,easy,django__django-9296,django__django-11299,django/django,django/django,1,1,0.13114754098360656,0.22222415933690484,django/core/paginator.py,django/db/models/sql/query.py
within,easy,django__django-9296,django__django-10880,django/django,django/django,1,1,0.12903225806451613,0.2772148365396827,django/core/paginator.py,django/db/models/aggregates.py
within,easy,django__django-9296,django__django-11239,django/django,django/django,1,1,0.09782608695652174,0.08614162387119242,django/core/paginator.py,django/db/backends/postgresql/client.py
within,easy,django__django-9296,django__django-11820,django/django,django/django,1,1,0.1506849315068493,0.10091669892222113,django/core/paginator.py,django/db/models/base.py
within,medium,sphinx-doc__sphinx-8548,astropy__astropy-13398,sphinx-doc/sphinx,astropy/astropy,3,3,0.034383954154727794,0.07967209243238532,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py","astropy/coordinates/builtin_frames/__init__.py,astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py,astropy/coordinates/builtin_frames/itrs.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py"
within,medium,sphinx-doc__sphinx-9461,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,sphinx-doc/sphinx,3,3,0.06613756613756613,0.18839682902425492,"sphinx/domains/python.py,sphinx/ext/autodoc/__init__.py,sphinx/util/inspect.py",sphinx/directives/other.py
within,medium,sphinx-doc__sphinx-9229,astropy__astropy-14369,sphinx-doc/sphinx,astropy/astropy,3,3,0.058394160583941604,0.04519206566018145,sphinx/ext/autodoc/__init__.py,"astropy/units/format/cds.py,astropy/units/format/cds_parsetab.py"
within,medium,sphinx-doc__sphinx-8548,scikit-learn__scikit-learn-25102,sphinx-doc/sphinx,scikit-learn/scikit-learn,3,3,0.06027397260273973,0.1771826436187216,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py","sklearn/base.py,sklearn/feature_selection/_base.py"
within,medium,sphinx-doc__sphinx-8548,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,sphinx-doc/sphinx,3,3,0.06707317073170732,0.1887354989459899,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py",sphinx/directives/other.py
within,medium,sphinx-doc__sphinx-9229,pytest-dev__pytest-6197,sphinx-doc/sphinx,pytest-dev/pytest,3,3,0.13218390804597702,0.484879472971137,sphinx/ext/autodoc/__init__.py,src/_pytest/python.py
within,medium,sphinx-doc__sphinx-8548,astropy__astropy-13579,sphinx-doc/sphinx,astropy/astropy,3,3,0.0582010582010582,0.10198268549278314,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py",astropy/wcs/wcsapi/wrappers/sliced_wcs.py
within,medium,sphinx-doc__sphinx-9229,pytest-dev__pytest-10356,sphinx-doc/sphinx,pytest-dev/pytest,3,3,0.13636363636363635,0.1730809832644077,sphinx/ext/autodoc/__init__.py,src/_pytest/mark/structures.py
within,medium,sphinx-doc__sphinx-8548,pytest-dev__pytest-10356,sphinx-doc/sphinx,pytest-dev/pytest,3,3,0.08791208791208792,0.11369815421642118,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py",src/_pytest/mark/structures.py
within,medium,sphinx-doc__sphinx-9229,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,sphinx-doc/sphinx,3,3,0.09019607843137255,0.1959518681538595,sphinx/ext/autodoc/__init__.py,sphinx/directives/other.py
within,hard,sphinx-doc__sphinx-7590,pydata__xarray-6992,sphinx-doc/sphinx,pydata/xarray,4,4,0.05733558178752108,0.3019899110109924,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py","xarray/core/dataset.py,xarray/core/indexes.py"
across,easy-medium,django__django-10097,astropy__astropy-13398,django/django,astropy/astropy,1,3,0.020512820512820513,0.0300921444051488,django/core/validators.py,"astropy/coordinates/builtin_frames/__init__.py,astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py,astropy/coordinates/builtin_frames/itrs.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py"
across,easy-medium,django__django-9296,astropy__astropy-13579,django/django,astropy/astropy,1,3,0.12121212121212122,0.1908133918437283,django/core/paginator.py,astropy/wcs/wcsapi/wrappers/sliced_wcs.py
across,easy-medium,django__django-10097,astropy__astropy-14369,django/django,astropy/astropy,1,3,0.039473684210526314,0.08373114179860285,django/core/validators.py,"astropy/units/format/cds.py,astropy/units/format/cds_parsetab.py"
across,easy-medium,django__django-10097,sphinx-doc__sphinx-9229,django/django,sphinx-doc/sphinx,1,3,0.09482758620689655,0.04272305884069282,django/core/validators.py,sphinx/ext/autodoc/__init__.py
across,easy-medium,django__django-9296,astropy__astropy-14369,django/django,astropy/astropy,1,3,0.04888888888888889,0.07456499689615964,django/core/paginator.py,"astropy/units/format/cds.py,astropy/units/format/cds_parsetab.py"
across,easy-medium,django__django-10097,sphinx-doc__sphinx-11510,django/django,sphinx-doc/sphinx,1,3,0.0514018691588785,0.03838814202224276,django/core/validators.py,sphinx/directives/other.py
across,easy-medium,django__django-9296,pytest-dev__pytest-5787,django/django,pytest-dev/pytest,1,3,0.040293040293040296,0.08449850790752496,django/core/paginator.py,src/_pytest/reports.py
across,easy-medium,django__django-9296,scikit-learn__scikit-learn-25102,django/django,scikit-learn/scikit-learn,1,3,0.044,0.16360370398560475,django/core/paginator.py,"sklearn/base.py,sklearn/feature_selection/_base.py"
across,easy-medium,django__django-9296,sphinx-doc__sphinx-8548,django/django,sphinx-doc/sphinx,1,3,0.06451612903225806,0.16697111468736184,django/core/paginator.py,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py"
across,easy-medium,django__django-9296,sphinx-doc__sphinx-9461,django/django,sphinx-doc/sphinx,1,3,0.0502092050209205,0.21951347423733603,django/core/paginator.py,"sphinx/domains/python.py,sphinx/ext/autodoc/__init__.py,sphinx/util/inspect.py"
across,easy-hard,django__django-11099,pydata__xarray-6992,django/django,pydata/xarray,1,4,0.033783783783783786,0.02013135942218465,django/contrib/auth/validators.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,easy-hard,django__django-11066,sphinx-doc__sphinx-7590,django/django,sphinx-doc/sphinx,1,4,0.04392764857881137,0.08372020335391052,django/contrib/contenttypes/management/__init__.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,easy-hard,django__django-10999,sphinx-doc__sphinx-7590,django/django,sphinx-doc/sphinx,1,4,0.023746701846965697,0.039295588342722815,django/utils/dateparse.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,easy-hard,django__django-10880,sphinx-doc__sphinx-7590,django/django,sphinx-doc/sphinx,1,4,0.028720626631853787,0.2777429438006402,django/db/models/aggregates.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,easy-hard,django__django-10914,sphinx-doc__sphinx-7590,django/django,sphinx-doc/sphinx,1,4,0.03875968992248062,0.06789523960091146,django/conf/global_settings.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,easy-hard,django__django-11099,sphinx-doc__sphinx-7590,django/django,sphinx-doc/sphinx,1,4,0.03367875647668394,0.0341888256347014,django/contrib/auth/validators.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,easy-hard,django__django-10880,pydata__xarray-6992,django/django,pydata/xarray,1,4,0.04152249134948097,0.1547838684596855,django/db/models/aggregates.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,easy-hard,django__django-9296,pydata__xarray-6992,django/django,pydata/xarray,1,4,0.03767123287671233,0.2176931147544732,django/core/paginator.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,easy-hard,django__django-11119,sphinx-doc__sphinx-7590,django/django,sphinx-doc/sphinx,1,4,0.032,0.1967060987450126,django/template/engine.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,easy-hard,django__django-11119,pydata__xarray-6992,django/django,pydata/xarray,1,4,0.038869257950530034,0.0952851677104781,django/template/engine.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,sphinx-doc__sphinx-9229,pydata__xarray-6992,sphinx-doc/sphinx,pydata/xarray,3,4,0.07207207207207207,0.2632412399280264,sphinx/ext/autodoc/__init__.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,astropy__astropy-13398,pydata__xarray-6992,astropy/astropy,pydata/xarray,3,4,0.045512010113780026,0.09361795969632554,"astropy/coordinates/builtin_frames/__init__.py,astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py,astropy/coordinates/builtin_frames/itrs.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py","xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,pytest-dev__pytest-5787,pydata__xarray-6992,pytest-dev/pytest,pydata/xarray,3,4,0.0640495867768595,0.1499313787543431,src/_pytest/reports.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,scikit-learn__scikit-learn-25102,sphinx-doc__sphinx-7590,scikit-learn/scikit-learn,sphinx-doc/sphinx,3,4,0.06751824817518248,0.27320505270010237,"sklearn/base.py,sklearn/feature_selection/_base.py","sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,medium-hard,sphinx-doc__sphinx-8548,pydata__xarray-6992,sphinx-doc/sphinx,pydata/xarray,3,4,0.05925925925925926,0.2416207838306806,"sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/importer.py","xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,pytest-dev__pytest-5787,sphinx-doc__sphinx-7590,pytest-dev/pytest,sphinx-doc/sphinx,3,4,0.059233449477351915,0.17983909932395886,src/_pytest/reports.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,medium-hard,sphinx-doc__sphinx-11510,pydata__xarray-6992,sphinx-doc/sphinx,pydata/xarray,3,4,0.0630841121495327,0.13252546405738813,sphinx/directives/other.py,"xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,pydata__xarray-3993,sphinx-doc__sphinx-7590,pydata/xarray,sphinx-doc/sphinx,3,4,0.059961315280464215,0.2221931432866951,"xarray/core/dataarray.py,xarray/core/dataset.py","sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
across,medium-hard,astropy__astropy-14369,pydata__xarray-6992,astropy/astropy,pydata/xarray,3,4,0.0400890868596882,0.038335424226498674,"astropy/units/format/cds.py,astropy/units/format/cds_parsetab.py","xarray/core/dataset.py,xarray/core/indexes.py"
across,medium-hard,sphinx-doc__sphinx-11510,sphinx-doc__sphinx-7590,sphinx-doc/sphinx,sphinx-doc/sphinx,3,4,0.059961315280464215,0.2269539209371522,sphinx/directives/other.py,"sphinx/domains/c.py,sphinx/domains/cpp.py,sphinx/util/cfamily.py"
